"duration","deaths","area","gdp","country","lat","lon","Began","Ended","dismagvalue","lm_USD","rf_USD","xgb_USD","svr_USD","brnn_USD","knn_USD"
1,30,200,1873671550,"Lao People's Democratic Republic (the)",NA,NA,"1996/08/15","1996/08/15",200,422000,2677000,749000,1637000,346000,363000
15,111,2173,63320122807,"Pakistan",NA,NA,"1996/08/19","1996/09/02",2173,63998000,35456000,36885000,63182000,57220000,43286000
1,226,29600,3.93e+11,"India",NA,NA,"1996/08/23","1996/08/23",29600,100033000,323219000,232246000,197257000,177646000,146385000
1,11,21,2361116588,"Benin",NA,NA,"1996/09/29","1996/09/29",21,480000,465000,272000,1484000,482000,707000
35,59,1306,3506695720,"Cambodia",NA,NA,"1996/09/30","1996/11/03",1306,4186000,3432000,3155000,5905000,3239000,9398000
44,162,22610,24657470575,"Viet Nam",NA,NA,"1996/10/01","1996/11/13",22610,32678000,53098000,14837000,36714000,31990000,24109000
3,13,11940,2.27e+11,"Indonesia",NA,NA,"1996/10/20","1996/10/22",11940,26540000,2843000,16534000,15129000,20655000,18929000
5,388,177500,3.93e+11,"India",NA,NA,"1996/10/21","1996/10/25",177500,202151000,250433000,534205000,419463000,396204000,453353000
5,5,4000,1.2e+11,"Iran (Islamic Republic of)",NA,NA,"1996/11/09","1996/11/13",4000,13348000,29751000,10297000,16635000,14838000,19136000
6,12,400,67629716981,"Egypt",NA,NA,"1996/11/13","1996/11/18",400,19458000,25001000,19096000,19407000,19962000,9837000
1,7,134,5215028986,"Honduras",NA,NA,"1996/11/20","1996/11/20",134,601000,5455000,951000,2054000,668000,957000
6,3,56750,3510520231,"Georgia",NA,NA,"1997/01/01","1997/01/06",56750,202000,1300000,234000,243000,203000,264000
38,20,156700,8.58e+12,"United States of America (the)",NA,NA,"1997/01/01","1997/02/07",156700,2568601000,1037695000,1387173000,1678634000,1896385000,1218005000
15,40,689100,7925673467,"Bolivia (Plurinational State of)",NA,NA,"1997/02/01","1997/02/15",689100,1671000,7816000,1638000,1244000,1430000,1582000
4,16,365800,7925673467,"Bolivia (Plurinational State of)",NA,NA,"1997/03/01","1997/03/04",365800,633000,5308000,661000,1047000,553000,1188000
11,27,10,28162053027,"Ecuador",NA,NA,"1997/03/09","1997/03/19",10,31811000,2070000,1710000,7119000,14735000,4617000
5,18,18320,94106183450,"Philippines (the)",NA,NA,"1997/03/09","1997/03/13",18320,15263000,858000,10422000,8755000,11641000,4370000
3,2,12910,4.05e+11,"Russian Federation (the)",NA,NA,"1997/04/15","1997/04/17",12910,17963000,38057000,18804000,24558000,22421000,11950000
7,4,31950,3510520231,"Georgia",NA,NA,"1997/04/26","1997/05/02",31950,280000,2383000,350000,347000,275000,289000
14,103,12110,9.62e+11,"China",NA,NA,"1997/05/03","1997/05/16",12110,663221000,220543000,396036000,519410000,600712000,200216000
